district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Englewood School District 1,CO,https://www.englewoodschools.net/,https://www.englewoodschools.net/who-we-are/board-of-education/boe-vacancy,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,ncil Meeting Schdule Council Meeting Minutes Council Members Elections 2025 BoE Candidate Information and Forums Board of Education Vacancy Superintendent District Accountability Committee DAC Meeting Schedule DAC Members DAC Meeting Minutes Debt-Free Schools Long Range Planning …,,strict Family & Community Newsletter News ParentSquare Requests for Proposals (RFP) (opens in new window/tab) Research Request Social Media Staff Directory Licensed Staff Negotiations Careers Benefits Summary Job Fairs Negotiated Agreement Salary Schedules Student Teaching and In…
Cherry Creek School District 5,CO,https://www.cherrycreekschools.org/,https://www.cherrycreekschools.org/programs-and-services/legal-resources/non-discrimination-policies,,https://www.cherrycreekschools.org/programs-and-services/transportation/important-contacts,Missing: tech (crawl limited),2,0,0,1,0,1,,,"n new window/tab) BOE Director School Assignments (opens in new window/tab) Legacy Stadium Wall of Fame Award Strategic Plan Strategic Plan Superintendent's Message Literacy Health & Wellbeing Disproportionality Data Dashboard Excellence for All, Excellence for the Future Core Va…",,CO 80015 District Map Get in Touch Main Line: 303-773-1184 Transportation: 720-554-4665 Admissions: 720-554-4550 Safe2Tell: 1-877-542-7233 Contact Us Important Links Financial Transparency (opens in new window/tab) Non-Discrimination Policies (opens in new window/tab) Website Acc…
Fremont RE-2 School District,CO,http://www.re-2.org/,,https://www.re-2.org/page/technology,https://www.re-2.org/staff,Missing: policy (crawl limited),2,0,0,1,0,1,,,"activities. The following individuals have been designated to handle inquiries regarding the non-discrimination policies: Dr. Bill Wilson, Superintendent, and EEO/Affirmative Action/Title IX/Section 504 Compliance Officer for complaints involving employees, and Jason Cellan, Titl…",,oard Meeting Agendas and Minutes Calendars Show submenu for Calendars Calendars Instructional Calendars Staff Calendars Assessment Calendar Contact Contact More Show submenu for Collapse Menu Student Registration Internet Login Records Request Skip Gallery Self Aware. Globally Co…
Colorado Springs School District 11,CO,https://www.d11.org/,https://www.d11.org/boe/contactus,,https://www.d11.org/boe/contactus,Missing: tech (crawl limited),2,0,0,1,0,1,,,shboard Stormwater Information Resources Family Resources Environmental Health & Life Safety Facilities Maintenance Work Order System Staff Directory Food & Nutrition Services Food & Nutrition Services Office Contacts Quick Links Healthy School Meals for All FRL/CEP School Lists …,,nse Dashboard Stormwater Information Resources Family Resources Environmental Health & Life Safety Facilities Maintenance Work Order System Staff Directory Food & Nutrition Services Food & Nutrition Services Office Contacts Quick Links Healthy School Meals for All FRL/CEP School …
Adams 12 Five Star Schools,CO,https://www.adams12.org/,https://www.adams12.org/our-district/leadership/board-of-education/contact,,https://www.adams12.org/our-district/leadership/board-of-education/contact,Missing: tech (crawl limited),2,0,0,1,0,1,,,Contact Human Resources Leadership Board of Education Agendas & Meeting Minutes Board Elections Board Policies Board Resolutions & Platform Director Districts Monitoring Reports Contact Superintendent Contact Superintendent's Office Non-Discrimination Digital Accessibility Access…,,ncial Transparency Financial Transparency 2025-26 Budget Plan Budget Backgrounder Accounts Payable Funding 101 Student Fees Billing Payment Contact Financial Services Calendar Careers Teach Substitute Services Pay Rates for Substitutes Lead Support Five Star Family Cultures and V…
Thompson School District R-2J,CO,https://www.thompsonschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Montezuma-Cortez School District RE-1,CO,http://www.cortez.k12.co.us,https://www.cortez.k12.co.us/ada-policy,,https://www.cortez.k12.co.us/contact/district-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,or District About M-CSD Board of Education District Leadership Strategic Plan Financial Transparency Colorado Open Records Request District Directory Grievance Procedure District Accountability Committee Get Involved Schools Show sub menu for Schools Beech Street Pre-School Kempe…,,perintendent Safety Technology Transportation Community Show sub menu for Community Community Input Community Partners Get Involved Careers Contact Calendar News Contact Us Header Search MCHS Band 2025 MCHS Band 2025 MCHS Band 2025 Order Emergency School Meals icon RE-1 Board of …
Denver County School District 1,CO,https://www.dpsk12.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Fowler School District R4J,CO,http://www.fowler.k12.co.us/,,,https://www.fowler.k12.co.us/en-US/staff,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,skip to navigation Skip to Navigation Fowler School District No. R4j Login District Information Departments Calendars Schools Family Staff Directory Contact A Donna Aragon Guidance Director Michael Aragon Technology Director/Secondary Teacher Doug Arnold School Board Member B Lin…,,yment Opportunities Menus Skip to Navigation Fowler School District No. R4j Login District Information Departments Calendars Schools Family Staff Directory Contact Welcome to Fowler School District - Home of the Grizzlies Welcome to Fowler School District's website. We are excite…
Adams-Arapahoe School District 28J,CO,https://aurorak12.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jefferson County School District R-1,CO,https://jeffcopublicschools.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Burlington Public School District RE-6J,CO,http://www.burlingtonk12.org/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"of Gallery New Registration Strategic Plan plan estratégico Find Us Burlington School District RE-6J 2600 Rose Avenue Burlington, CO 80807 Phone: (719) 346-8737 Fax: (719)346-8541 info@burlingtonk12.org Stay Connected At Burlington Schools we will be sure to “Do the Right Thing” …"
Miami-Yoder School District JT-60,CO,https://miamiyoder.com/,https://miamiyoder.com/board-policies/,,https://miamiyoder.com/staff-directory/,Missing: tech (crawl limited),2,0,0,1,0,1,,,s Menu Home Calendar & Latest News Calendar Athletic Calendar Latest News Admnistration School Board Board Meeting Documents Board Policies Superintendent Equal Opportunity/Title IX ESSER Use of Funds Our School Staff Directory New Student Registration Preschool Elementary Elemen…,,s Admnistration School Board Board Meeting Documents Board Policies Superintendent Equal Opportunity/Title IX ESSER Use of Funds Our School Staff Directory New Student Registration Preschool Elementary Elementary Supply List 2025-26 Elementary Handbook Secondary Middle School Sup…
Cripple Creek-Victor School District RE-1,CO,http://www.ccvschools.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Harrison School District 2,CO,https://www.hsd2.org/,https://www.hsd2.org/community/facility-rentals/facility-use-district-policy,,https://www.hsd2.org/families/resources-support/community-resource-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,lness Medication Authorization Immunizations Infinite Campus (opens in new window/tab) Resources & Support Food Pantries Community Resource Directory United Way 211 Drivers Education School Safety Standard Response Protocol Weather Delays & Closings Academics Advanced Placement C…,,lness Medication Authorization Immunizations Infinite Campus (opens in new window/tab) Resources & Support Food Pantries Community Resource Directory United Way 211 Drivers Education School Safety Standard Response Protocol Weather Delays & Closings Academics Advanced Placement C…
Douglas County School District RE-1,CO,https://www.dcsdk12.org/,https://www.dcsdk12.org/privacy-policy,,https://www.dcsdk12.org/about/departments/benefits-staff-wellness,Missing: tech (crawl limited),2,0,0,1,0,1,,,Literacy Interventions Novel & Textbook Adoption Professional Learning Student Teacher Program Mentor Teachers School Principals University Coordinators University Students Educator Effectiveness - Licensed Evaluation Evaluation Framework & Resource Website (opens in new window/t…,,"Capital Plan School Attendance Boundary Maps Capital Projects and List of Qualified Firms Development and Standards Planning & Construction Staff Directory School Capacity and Boundary Analysis Land Sustainability (opens in new window/tab) Nurture Nature, Nurture Minds: DCSD Scho…"
Hanover School District 28,CO,http://www.hanoverhornets.org/,https://www.hanoverhornets.org/about-us/privacy-policy,https://www.hanoverhornets.org/our-services/education/assistive-technology,https://www.hanoverhornets.org/staff-directory,,2,0,0,1,0,1,,,Closings & Delays Athletics Board of Education Public Participation Sign-Up Meet the Board Board Policies District Accountability Committee Director & Election Information Community Community Calendar Parent-Teacher Conferences Partnership Series Digital Safety Education Series W…,,Our Departments Business Services Communications Human Resources Employment Opportunities Operations and Maintenance Building and Field Use Staff Directory Staff Resources Alma for Teachers ParentSquare for Teachers ParentSquare Tutorial ADA Compliance Student Life Alma Social Em…
Charter School Institute,CO,https://www.csi.state.co.us/,https://www.csi.state.co.us/csi-cora-policy/,,https://www.csi.state.co.us/contact/,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,nts New Renewal Expansion Transfer Conversions Innovative Pathways Nutrition Authorizers News 20 Years of Impact Annual Report Terry’s Blog Contact Select Page Who We Are The Colorado Charter School Institute (CSI) is a statewide charter public school authorizer. Our mission is t…
Edison School District 54JT,CO,http://www.edison54jt.schoolfusion.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Academy School District 20,CO,https://www.asd20.org/,https://www.asd20.org/privacy-policy/,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"s Dr. Colorado Springs, CO 80920 Related Links State Resources Colorado Open Records Act Find out more about the Colorado Open Records Act. Superintendent's Office Academy District 20 leadership takes its cues from our Board of Education, driving the initiatives that deliver exce…",,"l Misconduct Educate. Inspire. Thrive. 7:30 a.m. - 4:30 p.m., Monday - Friday 719-234-1200 1110 Chapel Hills Dr. Colorado Springs, CO 80920 Contact Us Accessibility Non-discrimination Privacy Policy Public Notices Facebook Instagram YouTube X Copyright © 2026 Academy District 20.…"
El Paso County School District 49,CO,https://www.d49.org/,https://www.d49.org/transparency/board-of-education/boe-strategic-objectives,,https://www.d49.org/discover-d49/contact-us-46,Missing: tech (crawl limited),2,0,0,1,0,1,,,sory Committee (opens in new window/tab) Rights and Responsibilities D49 List of Schools School Addresses Innovation Zones Falcon Zone Zone Superintendent Brian Smith Falcon Zone Adminstration Falcon Zone Principals Falcon Zone Calendar Fall in Love with Falcon One Zone One Book …,,ram IGNITE: Expeditions STEAM Resources Individualized Education Section 504 Procedural Safeguards and Due-Process Individualized Education Staff Directory Learning Services Academic Standards Academic Systems Accreditation & Improvement Assessment Educator Evaluation Grants & Ex…
Telluride School District R-1,CO,http://tellurideschool.org/,https://tellurideschool.org/aboutboe,,https://tellurideschool.org/contactus,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,lendar Contact Us About Superintendent District Calendar Mission & Goals Inclusion Statement Telluride Graduate Values Student Registration Staff Directory Board About the Board Board Members Board Governance Policy Governance Structure Ends (E) Governance Process (GP) Executive …
Lewis-Palmer School District 38,CO,https://www.lewispalmer.org/,https://www.lewispalmer.org/page/boe-announcements,,https://www.lewispalmer.org/page/school-finder-street-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,llness Resources Gun Violence Prevention Materials Contact Show submenu for Contact Contact Facility Rentals Facility Rental Contacts Staff Directory Submit News Submit a Staff Kudos Calendar Calendar Additional Programs Show submenu for Additional Programs Additional Programs On…,,ere Wellness Resources Gun Violence Prevention Materials Contact Show submenu for Contact Contact Facility Rentals Facility Rental Contacts Staff Directory Submit News Submit a Staff Kudos Calendar Calendar Additional Programs Show submenu for Additional Programs Additional Progr…
